Display Name,Username,IsVerified,Account Created,Followers Count,Friends Count,Statuses Count,User Location,List Count,User Bio
Dhivaina (දිවයිණ),dhivaina,FALSE,2020-09-12 04:09:51+00:00,8,41,8056,,0,සත්‍ය ඇති සැටියෙන් සමබර පුවත් පල කිරීම අපගේ වගකීම වන්නෙමු.
Kasun Kelum,kalumneth,FALSE,2014-03-11 06:42:23+00:00,469,721,5192,Colombo,10,Journalist at Neth FM 🏈⚽️🎾⚾️🏉⛳️🏇🏊🏆✊
Bottomline News LK,BottomlineLk,FALSE,2020-10-27 07:05:44+00:00,5,26,2489,Sri Lanka,0,"Bottomline.lk –  Sri Lanka 24 Hours Online Breaking News : News, Politics, Video, Finance, Business, Sports,  Entertainment News,Covid19 Status in Sri Lanka"
සක්‍ර දෙවිදු 👑,GodSakkara,FALSE,2020-09-06 16:23:36+00:00,372,343,3820,දිවියලෝකෙ,1,ටුවීට් භවන තුල ආරෑඪ වීමෙන් වලකින්න. උබලා කරන පව් වලට මගේ පුක රත් කරගන්න බෑ. ඒ නිසා දැහැමින් හිටු !
Outbound Today,outboundtoday,FALSE,2018-01-07 14:03:39+00:00,109,2,3254,bed,0,Outbound Today is an online magazine which offers local and international news
STAR-LORD 🇱🇰🏳,tharu__,FALSE,2011-10-21 01:12:55+00:00,6889,528,91818,Sri Lanka,21,"#SriLanka #SafariBois @safaribois 🇱🇰
You are welcome to unfollow."
Wasanthi shiyamali punchihewa.,Wasanthishiyam1,FALSE,2019-01-16 08:34:47+00:00,7653,2948,18317,"Divulapitiya, Sri Lanka 🇱🇰",6,"Completed by Diploma in BeutyCulture.



Members of Madushan Harindra Media unit.


Twitter/Instergram/FB."
Sri Handa,Srihandalk,FALSE,2020-07-08 01:40:39+00:00,1163,1007,3492,"Colombo, Sri Lanka",0,| Srihanda.lk | දේශයේ හෘදසාක්ෂිය | Latest news updates from Sri Lanka| News from trusted sources | News updates and discussions | #SriLanka | #lka |
Sapumal Jayathilaka,Sapumal_Jaya,FALSE,2013-02-28 17:40:45+00:00,691,1352,25799,Sri Lanka,0,"When a man is denied the right to live the life he believes in, he has no choice but to become an outlaw.
- Mandela"
සුදු මාමේ දුව දෙනවද,Sudumameduvada,FALSE,2015-10-02 14:48:49+00:00,5762,936,54226,"ඩවුන්ස් ස්ට්‍රීට්,srilanka",4,බුද්ධිමතුන්ට පමණක් Bio එක පේනෙන බව කරුණාවෙන් සලකන්න
Kəffy,kaviyabanis,FALSE,2020-11-25 16:15:19+00:00,758,560,30388,,4,Real Madrid • @__mashayy ගේ මල්ලී
Siyatha FM,SiyathaFM,FALSE,2014-02-13 12:37:26+00:00,3188,66,35844,Sri Lanka,9,අපේ ගෙදර සිංදු රේඩියෝව
චාතූර්යා කැප්පෙටිපොළ☸️,proud_Buddhist1,FALSE,2019-11-30 15:34:09+00:00,2957,825,7520,"මායා රට,හෙළය",3,විග්‍රයාධී🙏🌸බුද්ධධර්මය🌸පාරම්පරික හෙළ වෙදකම🌸Certified Yoga Instructor🌸Artist🌸 ස්වභාදහම 🌸වනසතුන්🌸සොදුරු කවිය
Maraya and Gothaya Rajapaksha,sankadon,FALSE,2010-12-21 11:21:51+00:00,214,49,28730,Sri Lanka,2,😜🗡️⚔️🔪☠️☠️
Noorul Hassan,noorulhassan10,FALSE,2011-11-07 10:23:49+00:00,20,159,396,Sri Lanka,0,Social Service worker
දසුන්,WDN1989,FALSE,2017-12-01 14:39:20+00:00,101,207,2712,Sri Lanka,1,Just figuring out
Kamila Dias,KamilaWDias,FALSE,2012-06-08 11:54:38+00:00,2367,1990,25816,Sri lanka,18,Proud Sri Lankan 🇱🇰
Dinuk,22Dinuk,FALSE,2018-01-26 03:47:53+00:00,3152,3326,11807,Sri Lanka,19,Executive News Editor
Priyanthi,priyanthim123,FALSE,2015-09-13 09:22:17+00:00,725,1593,7840,Sri Lanka,1,I'm contented.
Dilan,Anushadilan96,FALSE,2020-05-18 01:01:20+00:00,1495,598,10222,Kurunegala ,2,“Behavior is important. Good looks are a bonus.  Humor is essential. Just like me..😜😆😜🙂
සුප්පා,ItsmeSuppa,FALSE,2015-10-05 23:57:27+00:00,5552,881,139949,Sri Lanka,4,"පිස්සො කලබල උනාට දොස්තර කලබල නෑ
 #ලියනගේසංගමේ"
𝑆𝑎𝑚𝑖𝑡ℎ 𝐺𝑢𝑛𝑎𝑡ℎ𝑖𝑙𝑎𝑘𝑒,samith78,FALSE,2018-12-30 01:27:18+00:00,508,843,3869,"Saitama-ken, Japan",2,"Economy Travel Science TV Government and public institutions Politics Movies Art Books Volleyball Soccer Health Weather, disasters Business International"
NativeSrilankan,OSrilankan,FALSE,2020-12-30 21:47:00+00:00,4,18,200,,0,"Do not shy to act, when you have to act.."
pubudu siriwansa,siriwansa,FALSE,2009-07-14 11:12:19+00:00,64,0,1795,"Avissawella, Srilanka.",0,"web designer, Web developer, Online Writer, social media consultant, seo specialist. (Siriwansa is the founder of Avissawella.com, Pariganakaya.com)"
For a New Sri Lanka,ForaNewSriLank1,FALSE,2019-09-21 11:14:03+00:00,2939,79,3280,,7,Working for a New Sri Lanka. Independent.
Under The Coconut Tree,Toddy_Lad,FALSE,2018-11-10 06:25:54+00:00,1352,968,10809,Sri Lanka,1,"🅻🅾🆅🅴🆂 🅶🅸🅽 & 🆃🅾🅽🅸🅲 ❤️
ජොලියෙන්, සැහැල්ලුවෙන්, වෛරයෙන් තොරව ගෙවන්න ඔන මේ ජිවිතෙ. පොඩ්ඩක් දෙශපාලකයන්ට බයින්නත් ඕනා 😉"
𝔻𝕖𝕧𝕚𝕟 𝔾𝕦𝕟𝕒𝕤𝕚𝕟𝕘𝕙𝕖 🇱🇰❤️🇦🇺,DevinGun,FALSE,2020-01-29 08:14:03+00:00,2717,2781,3306,Australia,1,"I may disapprove of what you say, but I will respect your right to say it

l Engineer l Royalist l Sri Lanka l Australia l Husband l Father l Brother l Mutual l"
ජිම් පප්පා 💥,jimpapz,FALSE,2019-03-26 20:12:15+00:00,1744,480,17024,Sri Lanka,1,"කොලෝසියමේ බාගයක් කැඩුවෙ මං 
කිලෝපැට්ටාගේ නහය කැඩුවේ මං 
මල්කුමාරිට පෙම් බැන්දෙ මං 
චූටිකුකූගේ හොදම යාලුව මං
අරිශ්ටෙ නැතුව වැඩ පෙන්නුවේ මං 
ඌචිකුචු ඊචිකුචියා මං"
Officer dibble,Lasaa_V,FALSE,2014-03-17 05:56:39+00:00,3237,4996,109233,Kαℓυtαrα,36,"ᑕнασs ιsη'т α ριт🎳 ᑕнασs ιs α ℓα∂∂εr  🇱🇻иαℓαη∂íαη 📯ᐯιєωs αяє мιηє & яεтωεεтs αяε иσт єη∂σяsмєηтs❤ нυят αℓєят⚠️
He/His #BlackLivesMatter
JournaliSM #LKA 🇱🇰"
✍️ සිතුවිලි විමන ✍️,CjDushan,FALSE,2020-05-03 17:57:43+00:00,107,98,509,Sri Lanka,0,writer
SENEHASA Saviya S.L.,senehasasaviya,FALSE,2019-04-24 16:40:28+00:00,478,4136,6288,"Sri Lanka ,Makola Sapugaskanda",0,
Negombo Today,NegomboToday,FALSE,2016-06-27 03:22:25+00:00,94,81,5181,Sri Lanka,0,අපගේ අරමුණ ජනතාවට සත්‍යය තොරතුරු දැනගැනීමට ඇති අයිතිය තහවුරු කිරීම සදහා අපට හැකි පමණින් නිවරදි තොරතුරු ලබාදීමයි.
Lanka Daily,LankaDaily,FALSE,2014-07-04 09:37:14+00:00,41,249,3892,,0,
STARBOY🤩🤩,Tharaka88405939,FALSE,2018-10-01 19:10:43+00:00,395,1219,6186,Sri Lanka,1,"Engineer, I drink and I build things."
කැප්ටන්🚫 |captain🚫|🧑‍✈️🌎🌊⛴,mr_thilina,FALSE,2020-11-23 14:19:54+00:00,2292,1292,13652,"Sri Lanka,chilaw ",3,I am a simple man. An explorer who walks in search of the sweet freedom of life | i am Employed at @slpauthority #lovetwitter
Angelo Gomez,AngeloTweetsNow,FALSE,2012-07-14 16:49:21+00:00,252,371,1414,Colombo,0,Developer | Marketer | Co-partner - Qpoint Entertainment and Q productions
Ishara Isuru 🏏⚽️🏉,Ishisuru1,FALSE,2016-04-02 17:18:38+00:00,1705,1081,46740,Sri Lanka,32,"Sporty person, Love SL Cricket, #ManUtd, RCB...."
Bandula,Bandula07160007,FALSE,2020-11-16 14:48:52+00:00,1172,4919,9504,,0,රට රැකිය යුත්තේ  පක්ෂ වලින්  නොව තම පක්ෂයේ වැරදි නොදකින ප්‍රතිවාදී පක්ෂයේ වැරදි පමණක්ම දකින #පක්ෂවහලුන් වෙතිනි #පක්ෂවහලුන්රටටබරක් පාලකයන්ට බැණලා වැඩක් නැහැ නේද?
K'at දෙයියෝ 🤤🇺🇳,KMeeeaaow,FALSE,2020-11-27 14:21:29+00:00,321,792,20360,දිව්‍යලෝකෙ,1,"Equity and Well being

Enjoy ▶️#ඇහෙනසිංදු
Religion ▶️ #සැබෑ_බෞද්ධයා
▶️ #Facts only for future survival"
PMD News,PMDNewsGov,TRUE,2015-08-07 10:18:59+00:00,25182,11,1854,Sri Lanka,101,Official News & Updates from President's Media Division of Sri Lanka
Sarfan Akram,SarfanAkram,FALSE,2017-03-04 13:56:36+00:00,751,1122,7515,Riyadh,1,"Married I Pure Sri Lankan 🇱🇰I A Social Worker l Bio of life- For Every Action, There is an equal and opposite reaction- Newton’s 3rd Law"
𝙽𝚞𝚠𝚊𝚗 𝙲𝚑𝚊𝚖𝚒𝚔𝚊𝚛𝚊,GMNChamikara,FALSE,2014-05-20 23:32:56+00:00,1236,1083,19913,King's Landing ,2,𝓒𝓸𝓻𝓽𝓲𝓼𝓸𝓵 𝓕𝓻𝓮𝓮 𝓟𝓮𝓻𝓼𝓸𝓷 ✌️
Gayan Sampath,GayanSampathLK,FALSE,2017-01-11 03:36:15+00:00,274,514,915,Colombo,0,Journalists
රස්තියාදුකාරයා,Rasthiyaduwa,FALSE,2010-07-14 13:07:27+00:00,4177,677,50117,එක තැනක් කියලා නෑ,8,ජීවිතේ අහුමුළු අතර රස්තියාදු ගහන එකෙක් ! ජාතිය: මනුෂ්‍ය | ධර්මය: සොබාධර්මය | උපන් බිම: පෘථිවිය |
News.lk,newsdotlk,FALSE,2011-02-18 19:34:17+00:00,23831,501,77344,Sri Lanka,110,රජයේ නිල පුවත් වෙබ් අඩවිය | அரசாங்கத்தின் உத்தியோக பூர்வ இணையதளம் அரச தகவல் | The Official Government News Portal of Sri Lanka
ශ්‍රිමත් අතිගරු හොරබල් සොත්ති,DjE6sRhJXFJIrCR,FALSE,2021-02-11 05:42:48+00:00,984,4137,6168,,0,"දෙන දෙයක් කාලා වෙන දෙයක් බලාගෙන ඉන්න එපා 
දුෂණ අක්‍රමිකතා අකටයුතු අවම කරන්න යම් දායකත්වයක් ෂෙයා කරලා යුතුකම් ඉටු කරන්න
ඉන්න හිටින්න රටක් අවශ්‍ය අය පමණයි"
රොබින්හුඩ් ™️🍃🐾️🇱🇰,SamanthaLive365,FALSE,2017-05-03 14:47:08+00:00,2072,530,14586,"Galle in Sri Lanka, Seychelles",3,"Hi, nice to tweet you!🙂| Chartered Accountant🎓 | B.Sc Hons USJ🎓 | #NatureLover | #Mahindian | #Colombo #Galle #Seychelles #LockDownLk #Yenu"
Mumtaz Rahman,rahman_mumtaz,FALSE,2013-02-02 15:31:31+00:00,353,126,7269,Colombo/Jakarta ,2,Very keen in following local politics.Preference to Humanity over Patriotism. No For Racism
winoj hasanka,cadruwan,FALSE,2011-03-23 10:50:02+00:00,194,767,1642,"walimada,sriLanka",0,
Garret,Jacobgarret2019,FALSE,2016-11-11 10:40:05+00:00,137,315,14895,,1,
🇩‌ 🇪‌ 🇻‌ 👑️,HemalDevinda,FALSE,2021-01-28 02:36:23+00:00,1036,220,11083,katunayake ,2,
Thilanka Rathnayake,IamThilanka,FALSE,2015-04-07 15:12:49+00:00,1891,163,3527,"Colombo , Sri Lanka",2,"A Patriotic Sri Lankan, Political Analyst & Activist. Music Composer & Social Media Analysts. Hope of the Nation ! Loyalty to country always."
UPUL MAHESH ශ්‍රී,UPULMAHESH4,FALSE,2020-08-02 18:24:33+00:00,171,195,2265,,0,"My Own Business 
upul79.mu@gmail.com
ගීත ගායනා කිරීම සහ විශ්ව සංගීතය මගේ ප්‍රියතම 🎤🎤🎸🎸🎶🎶🧡🧡"
Chinthaka Fernando,chinthaka_F,FALSE,2010-06-15 13:12:40+00:00,71,220,1152,Singapore,3,"No U Turns.
Sri Lankan. 🇱🇰"
lnolanka2020@gmail.com,lnolanka2020,FALSE,2020-12-04 10:30:09+00:00,5,162,123,Sri Lanka,0,Smarter Than Your Thinking |Lanka News One|
All Ceylon Jamiyyathul Ulama - ACJU,ACJUNEWS,FALSE,2011-12-19 09:30:39+00:00,40582,0,1648,Colombo - Sri Lanka.,32,All Ceylon Jamiyyathul Ulama is the religious body of Islamic Theologians that provides religious and community leadership to the Sri Lankan Muslim Community
Jay Tissera 🇱🇰,Jay_Tissera19,FALSE,2012-05-03 09:19:02+00:00,33,151,1249,Sri Lanka,0,God is Great | Realist 🤷‍♂️ | Designer | Cricket Fan | Sarcastic | Sri Lankan | Dislikes Snowflakes
Nuwan Gamini Dissanayake,NuwanGamini1,FALSE,2013-05-01 08:46:00+00:00,1624,4994,1102,Badulla,0,කතිකාවතක් හැදෙන්න දේවල් තියෙද්දි විකාර වලින් වින්දනය වන රටක් මේක සහෝදරයා
හා.සේ නුවර හාමු,H_S_KandyHamu,FALSE,2020-03-24 10:12:30+00:00,977,548,25789,Kandy,2,අපි හම්බකලත් අපිට කන්න නැ
Ceylon News,Ceylonnewslk,FALSE,2017-04-10 04:36:34+00:00,253,271,5626,,3,
Milinda Rajapaksha,milindarj,TRUE,2009-04-28 17:48:06+00:00,23600,3255,8473,Colombo,156,Additional Director General of @infodprtsl • Director of @MCND_lka • Former Member of the Colombo Municipal Council from @PodujanaParty • Author #SriLanka
Sri Lanka News සිංහල,SLNewsSinhala,FALSE,2012-05-03 08:21:46+00:00,21487,101,175354,,49,Sri Lanka News Sinhala සිංහල
Vinuka Vidanapathirana,Vinukavida,FALSE,2020-11-02 18:36:24+00:00,277,147,8796,,1,"සසර වසන තුරු
නිවන් දකින තුරු
පින් කෙත හෙළ රන් දෙරණේ
යළි උපදින්නට
හේතු වාසනා වේවා!
හේතු වාසනා ♥ 🇱🇰"
නාරද NaradaTweets,TweetsbyNarada,FALSE,2014-06-24 01:31:42+00:00,333,1119,4032,Colombo,0,විශ්වය සැමටම යුක්තිය ඉටුවන ලස්සන ලොවක් සදම්.
Sarath Kohilawaththa,SKohilawaththa,FALSE,2015-07-11 14:57:21+00:00,19,287,2424,,0,
Faceless,fmenofbraavos,FALSE,2021-01-11 09:13:38+00:00,101,215,2246,,1,Valar Morghulis - All men must die
ஒன்றிய அரசு,mydeen102,FALSE,2020-05-06 06:48:02+00:00,739,2395,24446,Chennai,3,courier  service
Oshada Basnayake,OshadaBasnayake,FALSE,2015-04-03 12:24:14+00:00,28,232,110,Sri Lanka ,0,"Being an all-rounder tech-enthusiast is a passion. Entrepreneurship,  Decorated individuality thrive me to work in various professional fields around the world."
Parthiban Shanmuganathan,thisisparthiban,FALSE,2010-09-01 08:53:49+00:00,2208,451,13060,Sri Lanka,20,Deputy News Manager @ibctamilmedia | Production Head @lankasrinetwork | journalist | feature writer | compere | interviewer (Views expressed r my own Unless RT)
Lionel Bopage,Leonine111,FALSE,2011-01-22 13:31:14+00:00,1838,2155,67269,"Melbourne, Australia",70,"Vocalist, lyricist, composer, producer, writer, community activist and political analyst.  Also see:  linkedin.com/in/lionelbopage  and  facebook.com/lionel.bopage?…"
අපේ Media Social Media,MediaSocialMed1,FALSE,2021-02-04 06:36:52+00:00,24,12,1501,Colombo,0,අපේ Media Social Media
Colombo24,Colombo24LK,FALSE,2021-02-19 12:04:02+00:00,27,10,4637,,0,News & Current Affairs
Mayantha Dissanayake,MayanthaD,TRUE,2015-09-01 09:28:56+00:00,2046,271,623,Sri Lanka,17,"Politician & Member of Parliament | Chairman of the Samagi Tharuna Balawegaya, the youth wing of @sjbsrilanka"
Suratha,SurathaSL,FALSE,2015-05-04 16:54:28+00:00,2097,577,11198,Sri Lanka,2,Sinhala account of Suratha
Sadeep Udugama 🇱🇰,98lunaticmaster,FALSE,2014-05-07 15:41:16+00:00,4,25,36,"Negombo , Srilanka",0,| My tweets are my personal views | Influencer 🔥 | Cheerleader | NSBM Undergraduate🎓
Rasika Karunarathne,Rasikalink,FALSE,2011-02-17 13:22:05+00:00,7119,908,64517,Sri Lanka,6,"Digital Creator  🇱🇰🖥 | Foodie🍕🍔🌭 | 
FB : fb.com/rasikalink | bio.link/rasikalink |
Co-founder @RathumakaraFM | Founder/CEO @HostingOven & @Digi_ResourceLK"
Udaya wickramarathna,Udayawickramar1,FALSE,2021-02-13 22:53:22+00:00,1065,5002,3736,,1,රටත් එක්ක හිට ගනිමු! පරිසරය රැකගමු!සත්‍ය වෙනුවෙන් පෙනී සිටිමු!දූෂිත දේශපාලුවන්ට තරාතිරම නොබලා පහර දෙමු! නිදහස් නීතිගරුක නිවහල් දේශයක් වෙනුවෙන් ඇප කැප වෙමු!
Gindara News,GindaraN,FALSE,2021-03-01 02:06:13+00:00,59,362,228,,0,News at Another Perspective
Colombo Telegraph,colombotelegrap,FALSE,2011-09-24 23:59:30+00:00,29831,3,24718,,185,Colombo Telegraph is strictly a public interest website relating to Sri Lankan matters and is run by a group of exiled journalists.
Indrajith Bandara,IndrajithTweets,FALSE,2014-09-19 07:07:44+00:00,1368,599,35932,"Badulla, Sri Lanka",2,"මගේ ආතල් එක ගන්න ආවේ. උඹලට ඕනේ විදිහට Tweet කරන්න බැදිලා නෑ. මං හොඳ දේවල් Tweet කරා කියල, මට @Twitter එකෙන් සිරිමත්ගේ සම්මානය දෙන්නෙත් නෑ."
Shyamika Warshamana,ShyamikaW,FALSE,2021-04-17 14:28:33+00:00,28,104,90,"Milano, Lombardia",0,
MARZOOKMI,marzookmi,FALSE,2013-12-03 23:05:07+00:00,19,172,1916,BARKING ,0,
සැන්ඩි 🍀🦇🇱🇰,nipuna__d,FALSE,2011-02-04 06:24:57+00:00,4000,774,119799,Athurugiriya ,3,"The Dark Symbol of Gotham 🦇
The Happiest Depressed Person 😊
#OnePlus User 🇱🇰🖤
#Asokians #Batsy #රේඩියෝශෝවිත්සැන්ඩි #WednesdayRockEveWithSandy"
Shyamika warushamana,ShayamikaM,FALSE,2021-03-28 09:23:21+00:00,178,251,5252,,1,
Ranjan Mellawa,RMellawa,FALSE,2014-10-27 01:47:41+00:00,1705,918,11564,Sri Lanka,2,"Blessed to see all epic moments in SL cricket, including six World Cup finals, which is shared on ""Winds Behind The Willows”.
Ex-banker and a village cricketer."
Jeewantha Lakmal,JeewanthaLakm14,FALSE,2021-01-15 17:15:28+00:00,7,21,69,,0,තමාට පෙර රට
@ukussanews,ukussanews,FALSE,2021-03-14 01:32:12+00:00,56,364,3653,,0,news
Jerry  🇱🇰,maalupaan,FALSE,2015-12-28 13:27:26+00:00,5777,367,162349,Triggerland,13,"*Psychopath*

*Verified Asshole*

*Feminist*




*Attention for sale + Shit posting*"
Karu Jayasuriya,KaruOnline,TRUE,2011-12-04 02:58:38+00:00,43549,11,2788,"Colombo, Sri Lanka",81,Speaker of the 8th Parliament of the Democratic Socialist Republic of Sri Lanka. Chairman of the National Movement for Social Justice (NMSJ).
⚫,FCrambutan,FALSE,2016-07-24 11:20:47+00:00,600,87,3972,,0,
nnalani123@gmail.com,nnalani1231,FALSE,2016-08-06 11:07:00+00:00,238,207,12794,Sri Lanka,2,"මාරුවෙන් මාරුවට එකිනෙකාට බැට දෙමින් තම හවුල්, පවුල්, කල්ලි දේශපාලනය නඩත්තු කළේ රාජ්‍යය ගැන වගේ වගක් නැතිවය"
JVP Italia,JVPItaly,FALSE,2015-06-09 16:51:18+00:00,80,215,4305,,1,
Isuru uddeepa,Isuruuddeepa,FALSE,2013-02-14 19:57:12+00:00,579,935,3078,"Athurugiriya, sri lanka ",0,🇱🇰🇱🇰#Anandian#social worker# Traveler#Dare Adventures sri lanka# subscribe my channel.  youtube.com/channel/UCQbXa…
asoka eraminigammana,asokadambulla,FALSE,2013-07-07 08:12:44+00:00,18,136,183,Dambulla ,0,journalist
Sithu💜,itsme_sii,FALSE,2017-12-31 21:55:47+00:00,3723,175,6856,Sri Lanka 🇱🇰,3,I’m basically a girl with the personality of unbelievable
IRSHAN MOHAMED 🇱🇰,iamirshanrafeek,FALSE,2013-02-19 21:34:02+00:00,9052,9598,19879,Sri Lanka ශ්‍රී ලංකා இலங்கை 🇱,4,CEO: Founder Lakbima Auto Sale & Rent A car. South Asia-Based Web-Journalist  #lankansmind
SRI JUDGE,srijudge1,FALSE,2020-04-03 11:09:52+00:00,527,148,1741,SRI LANKA ,1,අපි රටට ආදරේ පරම්පරාව!
"Colonel -Rtd, Sriyan Jayasinghe - SEEDUWA",sriyan_seeduwa,FALSE,2012-04-03 09:17:04+00:00,18,84,2973,SEEDUWA,0,FORMER UNITED NATIONS DEPARTMENT OF SAFETY AND SECURITY ADVISOR FOR NORTH AND EAST SRI LANKA.
Lankatruth.com,Lankatruth,FALSE,2011-12-25 04:37:23+00:00,329,245,4059,Sri Lanka,1,Unbiassed . Unstoppable
Danny Fisher,mara1985r,FALSE,2017-09-06 12:31:20+00:00,1154,4987,41686,Sri Lanka,1,
Ayshmarq,Ayshmarq,FALSE,2010-04-28 07:37:40+00:00,15453,1626,43871,Sri Lanka,49,30. Une rebelle with a cause.
Fact Crescendo Sri Lanka 🇱🇰,factcrescendosl,TRUE,2019-09-07 11:21:46+00:00,2670,17,1971,Sri Lanka,24,"Independent, unbiased fact-checking 🔎 website and a part of @FactCrescendo India
#FactCheck #LKA #SriLanka #FakeNews #FactCheckSL t.me/factcrescendo_…"
Roar Sinhala,RoarSinhala,FALSE,2018-01-11 05:49:43+00:00,1281,188,3269,Sri Lanka,5,අපේ භාෂාවෙන් ලෝකය ඔබ වෙත ළං කරන Roar සිංහල වෙබ් අඩවියේ නිල ට්විටර් ගිණුම
oshadac,oshadac,FALSE,2009-11-04 07:17:55+00:00,738,967,18615,,48,#reader #cricketfan #traveler #eventplanner #ITperson #photographer #lovemusic
UpulR,UpulTR,FALSE,2009-04-20 02:29:03+00:00,47877,49034,103851,Global,170,"Single dad. I’ve many interests. Movies, tech, politics, #foodie & many more.
#TeamFollowBack"
LAKSH Wijayasundara 🇱🇰🇱🇰🇺🇸,Laksh_268,FALSE,2015-05-13 06:18:23+00:00,4947,1434,27943,United States,2,"My hobbies are breakfast, lunch, and dinner topped with a chocolate dessert.🥪🍱🥘🍫🍩🍽️"
💙🧚 නිෂාදි 🧚💙🇱🇰,SKathriarachc,FALSE,2016-01-02 11:01:05+00:00,16644,1660,44879,Srilanka🇱🇰 තංගල්ල,5,#සිංහල##බෞද්ධ##movies#novels##simple life 💕රතු මකරා FM🎧🎧😘😘#LoveTwitter
Commercial News Mail,cnewsmail,FALSE,2020-12-02 11:15:49+00:00,8,36,1192,,0,A Premier Online Marketing Website offering Top quality products around the world.
Supun Aparekka,supunaparekka,FALSE,2011-12-30 12:43:21+00:00,1975,511,11438,,0,"Voice of Aparekka 🇱🇰                                              


#travelwithaprek #voiceofaparekka
#ADET"
Amila Chathuranga,indika27,FALSE,2010-06-01 11:55:21+00:00,11013,4827,95702,colombo sri lanka,28,i am sri lankan unp boy.
Niluksha Randika,Randika87,FALSE,2010-04-26 08:18:56+00:00,198,588,4864,Kottawa,1,Thurstan | USJP | UOC | Specialized in Statistics| Loves cricket   | 'Less tweeting - More listening' | 😀
colombotribune,colombotribune1,FALSE,2020-10-27 17:30:53+00:00,24,14,775,colombo Sri Lanka,0,
Chathuranga Jayanath,cjtwitt,FALSE,2010-11-14 10:38:40+00:00,1220,989,4540,Sri Lanka,21,"ツ
Inside every story there is a beautiful journey! :) 
100% Geek! Bt this twitter instance is 100% personal ;)
visit us softcarewebs.com n me"
wamnews SriLanka,wamnews_srilank,TRUE,2020-05-10 15:29:20+00:00,252,19,4007,,0,wamnews_srilank
Zaman 🇵🇸,ZamanX90,FALSE,2011-10-12 10:10:13+00:00,5066,1592,219450,"Dehiwala, Sri Lanka",64,SSE @ Synopsys | Bsc @ UCSC | Msc @ UoM | DSSC | Asoka | 30 | Sport is my passion |   #NotesFromDulsha #AbuZayan | Abdullah
"Sunil Govinnage, PhD",blackaustralian,FALSE,2010-08-26 08:39:05+00:00,703,2660,8647,"Sydney, Australia",21,"Ex civil servant for 25 years in Aus. Foundation staffer: Asian Disaster Mgt Ctr, BKK. Political and cultural critic. Sri Lankalogist. published poet & novelist"
Ajith Perakum - Praja.lk,ajithperakum,FALSE,2012-08-25 12:23:55+00:00,1274,713,3503,"Panadura, Sri Lanka",10,Ajith Perakum Jayasinghe
NewsLanka24,NLanka24,FALSE,2020-12-29 09:56:15+00:00,20,24,1416,Sri Lanka,0,Online News Portal
DawaseNews,DawaseNews,FALSE,2020-12-29 09:53:47+00:00,28,3,3540,Sri Lanka,1,Online News Portal
DIL ICT,dilict,FALSE,2014-02-07 16:31:06+00:00,83,783,753,Dambulla. Sri Lanka.,2,A Premier ICT Breaking News Channal Offering News from Sri Lanka
Rotaract_LawFacUOC,Rotaract_LawFac,FALSE,2016-07-08 13:28:00+00:00,221,178,1992,Sri Lanka,3,"Official Twitter account of the Rotaract Club of the Faculty of Law, University of Colombo, Sri Lanka"
kamal kapukotuwa (卡馬爾·卡普科圖瓦),kamalkapukotuwa,FALSE,2016-01-02 06:18:59+00:00,189,7,3823,Sri Lanka,0,"Excuse ..
True is Dangerous to write or speak confuse to reader and listeners ..... its me.."
India in Kandy,AhciKandy,TRUE,2015-12-30 11:18:06+00:00,8590,83,2345,"01A, Mahamaya Mawatha, Kandy.",52,"Welcome to the official twitter account of the Assistant High Commission of India in Kandy, Sri Lanka."
Chamara Amarasooriya,C_Amarasooriya,FALSE,2014-05-09 09:05:14+00:00,567,807,607,"Colombo,Sri lanka",4,Defence Journalist @ Mawbima Newspaper
Media Unit - CPC,CpcUnit,FALSE,2017-03-28 07:08:06+00:00,9,0,83,,0,
Lohan Gunaweera,lohang,FALSE,2007-09-13 13:53:36+00:00,1310,1716,29287,Sri Lanka,82,"Visual artist, writer, translator. Loves theatre and performance art. A free software user. 

PGP fingerprint 
62BB C05D B93D 674B 27C4 BB4E 56E1 D006 1983 A729"
Thushara srinayake ❤️🇱🇰🙏,TSrinayake,FALSE,2020-04-23 06:49:22+00:00,15,230,123,Srilanka ,0,"#yashming group 

business man"
Dingiri (Amabie),thegallerybitch,FALSE,2020-06-17 09:05:56+00:00,1506,666,19845,Colombo,1,Join #BookClubSL - Invites via DMs.
Kulanthi Silva,kulanthisilva,FALSE,2019-11-09 09:08:44+00:00,3951,372,7776,Sri Lanka • Italy,7,i read. i write. i manage brands. slow living. agnostic. apolitical. italiana in fondo al cuore. in love with (A. Lan)ge & Söhne. 🇱🇰 🇮🇹
Roshan Samantha Yapa,roshan_yapa,FALSE,2016-05-16 20:47:18+00:00,69,162,2161,"London, England",0,🇱🇰
The - D,__dhanuka,FALSE,2020-07-15 12:05:29+00:00,481,298,2196,Gampaha,0,Patriot🇱🇰| Nalandian🇱🇻              simple soul🙂
SL Latest,NuwanCh26275178,FALSE,2018-12-19 06:31:18+00:00,29,241,199,Sri Lanka,0,
News Ceylon,NewsCeylon_net,FALSE,2021-02-21 14:04:28+00:00,14,11,416,"Colombo, Sri Lanka",0,"-Unfolding the Truth-
""මේ ඇත්ත දිග හැරීමට කාලයයි"" 
#NewsCeylon #lka #SriLanka #News"
picketview,picketview,FALSE,2014-06-16 05:24:21+00:00,477,176,21310,,6,
